1
17
5230
82306
200	200	200	5	200	200	200
154,606085854865	164,264083683614	136,771678848551	11	235,085306006989	147,101007889538	168,108638035184
285,655111440297	237,410675798268	272,886287874024	17	126,54805724814	237,860571098449	160,514581976698
168,450278727547	150,005927891473	185,289849101235	23	181,459827013994	257,75749886304	165,850253526983
200	200	200	29	200	200	200
287,448694551107	218,360358904284	248,73892196861	35	112,611575803073	228,447234224736	150,476527051291
8
0	3	Wild Staff	item_weapon3	3	2	80	3	72	5	80
1	0	Molten Wand	item_offhand0	3	5	77	3	49	0	80
2	5	Redemption Helmet	item_head5	3	3	80	0	56	1	80
3	5	Redemption Mantle	item_shoulders5	3	1	76	5	73	4	80
4	5	Redemption Robe	item_chest5	3	2	65	3	44	4	80
5	5	Redemption Gloves	item_hands5	3	2	67	3	80	0	80
6	5	Redemption Pants	item_legs5	3	6	80	2	80	0	31
7	1	Nether Boots	item_feet1	3	4	80	0	80	1	80
6
0	3	4	Shade Mantle	item_shoulders4	3	3	80	4	72	0	47
1	4	2	Frozen Robe	item_chest2	3	5	74	1	71	4	67
2	8	191,488985573635	210,736385132529	184,960952720121	10	235,45570100446	293,005315769932	165,578481399258	0	2
7	8	244,047804150753	175,926107389818	203,308646894669	47	224,896682484493	280,315119112057	100,748822931549	0	5
8	1	0	Molten Wand	item_offhand0	1	5	80
9	7	5	Redemption Boots	item_feet5	3	2	32	1	51	5	48
