0
6
5159
0
200	200	200	4	200	200	200
200	200	200	10	200	200	200
200	200	200	16	200	200	200
200	200	200	22	200	200	200
200	200	200	28	200	200	200
200	200	200	34	200	200	200
8
0	4	Shade Staff	item_weapon4	3	2	80	3	28	1	77
1	1	Nether Wand	item_offhand1	3	1	58	0	80	4	80
2	4	Shade Helmet	item_head4	3	3	80	0	67	1	17
3	4	Shade Mantle	item_shoulders4	3	3	71	4	45	0	65
4	2	Frozen Robe	item_chest2	2	0	80	4	73
5	4	Shade Gloves	item_hands4	3	2	71	3	78	1	20
6	4	Shade Pants	item_legs4	3	2	80	3	40	6	80
7	4	Shade Boots	item_feet4	3	0	70	5	60	4	30
4
0	8	178,383192549638	196,111485686205	154,715872022657	47	179,32140886752	128,252336489154	290,860125790751	0	4
1	0	0	Molten Staff	item_weapon0	3	0	79	1	59	4	80
2	4	2	Frozen Robe	item_chest2	3	0	33	6	59	5	38
3	6	0	Molten Pants	item_legs0	3	3	74	5	80	4	80
