0
1
4904
91435
200	200	200	0	200	200	200
124,784928944327	283,774472020461	276,855241030853	8	231,141656232598	169,499105992494	134,353688561522
200	200	200	12	200	200	200
200	200	200	18	200	200	200
200	200	200	24	200	200	200
200	200	200	30	200	200	200
8
0	0	Molten Staff	item_weapon0	3	3	10	3	75	2	80
1	0	Molten Wand	item_offhand0	3	3	80	3	70	2	74
2	0	Molten Helmet	item_head0	3	3	80	3	59	2	80
3	0	Molten Mantle	item_shoulders0	3	3	80	3	1	2	78
4	0	Molten Robe	item_chest0	3	3	80	3	54	2	71
5	0	Molten Gloves	item_hands0	3	3	74	3	75	2	80
6	0	Molten Pants	item_legs0	3	3	80	3	58	2	60
7	0	Molten Boots	item_feet0	3	3	53	3	80	2	81
4
0	5	4	Shade Gloves	item_hands4	1	1	51
1	5	4	Shade Gloves	item_hands4	3	5	44	6	38	4	18
2	8	200	200	200	6	200	200	200	0	1
3	8	229,993946724568	220,303934868567	122,021736587408	1	103,846961261633	222,817225252659	188,420884352373	0	3
