2
20
5115
1626
200	200	200	1	200	200	200
129,091542507099	118,48870051023	291,152102589212	7	146,40057573393	234,123928441724	172,6504788141
200	200	200	13	200	200	200
200	200	200	19	200	200	200
200	200	200	25	200	200	200
249,340759194149	108,330450676535	253,112751503062	32	217,327995466687	155,611156791268	265,292365460327
8
0	4	Shade Staff	item_weapon4	3	0	80	1	80	3	31
1	4	Shade Wand	item_offhand4	3	3	71	5	52	1	80
2	2	Frozen Helmet	item_head2	3	2	80	3	80	1	30
3	1	Nether Mantle	item_shoulders1	3	6	72	2	79	5	63
4	1	Nether Robe	item_chest1	3	2	80	3	70	1	80
5	1	Nether Gloves	item_hands1	3	3	58	2	44	1	29
6	1	Nether Pants	item_legs1	3	2	77	3	74	1	76
7	1	Nether Boots	item_feet1	3	3	43	0	80	1	41
8
0	8	265,917406401559	243,970971528427	104,308688363204	16	268,338828891674	188,959992811531	115,453970625742	0	3
1	8	137,688434048411	212,247189466025	161,761730658711	43	125,432589755129	164,321987826527	186,770064982944	0	4
2	8	220,153179820698	213,639566448349	173,212713223515	14	137,733959517318	132,023235239099	135,010089275898	0	3
3	5	1	Nether Gloves	item_hands1	3	3	54	2	5	1	32
4	1	0	Molten Wand	item_offhand0	3	2	78	0	68	1	73
5	7	3	Wild Boots	item_feet3	2	3	80	5	80
6	5	1	Nether Gloves	item_hands1	3	2	13	3	31	1	6
7	7	5	Redemption Boots	item_feet5	3	3	35	5	79	2	73
