2
17
5198
11187538
227,03437543336	173,657739499424	160,87565008126	2	164,942718350768	237,856170482867	158,129897484616
204,86148388817	235,564638434707	199,248086684033	9	210,179330483162	179,866739469518	173,628797206855
229,253687699909	179,426378537634	217,690920488765	14	196,989619474388	219,621675540517	157,998729826882
200	200	200	20	200	200	200
200	200	200	26	200	200	200
200	200	200	32	200	200	200
8
0	2	Frozen Staff	item_weapon2	3	5	33	6	46	3	32
1	2	Frozen Wand	item_offhand2	3	3	80	4	80	1	45
2	2	Frozen Helmet	item_head2	3	3	75	4	54	1	80
3	2	Frozen Mantle	item_shoulders2	3	2	80	3	80	0	80
4	2	Frozen Robe	item_chest2	3	3	80	4	69	1	80
5	2	Frozen Gloves	item_hands2	3	3	80	4	58	1	58
6	2	Frozen Pants	item_legs2	3	3	80	4	53	1	63
7	3	Wild Boots	item_feet3	3	3	73	4	80	1	75
1
0	4	2	Frozen Robe	item_chest2	3	0	73	3	74	2	80
